word,pos
កន្ថឹក,ន.
កន្ថោរ,ន.
កន្ទក់,ន.
កន្ទក់កន្ទេញ,កិ.
កន្ទក់អង្កាន់,"គុ., ន."
កន្ទនជៃ,ន.
កន្ទន់បាក់ក,ន.
កន្ទប,ន.
កន្ទាទូក,ន.
កន្ទាលត្រអាក,ន.
កន្ទី,ន.
កន្ទីងរីង,ន.
កន្ទឹស,"គុ., ន."
កន្ទុត,ន.
កន្ទុយ,ន.
តោងកន្ទុយ,កិ.
កន្ទុយក្រពើ,ន.
កន្ទុយចចក,ន.
កន្ទុយឆ្កែ,ន.
កន្ទុយដំរី,ន.
កន្ទុយថ្លែន,ន.
កន្ទុយប្រា,ន.
កន្ទុយលឹន,ន.
កន្ទុយលេខ,ន.
កន្ទុយអណ្ដើក,ន.
កន្ទុល,ន.
កន្ទូតអូង,ន.
កន្ទួត,ន.
កន្ទួតប្រោង,ន.
កន្ទួតព្រៃ,ន.
កន្ទួល,ន.
កន្ទើញ,ន.
កន្ទេចអាល,ន.
កន្ទេល,ន.
កន្ទែក,គុ.
កន្ទោក,ន.
កន្ទោង,ន.
កន្ទោងចុងស្លឹក,ន.
កន្ទោងបាយដារ,ន.
កន្ទុំរុយ,ន.
កន្ទាំងបាយស,ន.
កន្ទាំងហែ,ន.
កន្ទាំមីង,ន.
កន្ទះរា,គុ.
កន្ទ្រង់,ន.
កន្ទ្រម,គុ.
កន្ទ្រល,គុ.
កន្ទ្រាញ,គុ.
កន្ទ្រឹម,ន.
កន្ទ្រឹស,គុ.
កន្ទ្រុប,គុ.
កន្ទ្រួក,គុ.
កន្ទ្រួប,គុ.
កន្ទ្រើង,គុ.
កន្ទ្រែត,គុ.
កន្ទ្រោក,ន.
កន្ទ្រោកដំរី,ន.
កន្ទ្រុំ,ន.
កន្ទ្រាំ,ន.
កន្ធរ,ន.
កន្ធា,គុ.
កន្ធាញ,គុ.
កន្ធាត់,គុ.
កន្ធាយ,ន.
កន្ធិងកន្ធាំង,គុ.
កន្ធីង,គុ.
កន្ធឹប,គុ.
កន្ធុក,គុ.
កន្ធុច,គុ.
កន្ធុល,គុ.
កន្ធួក,គុ.
កន្ធែក,កិ.
កន្ធំថេត,ន.
កន្ធាំង,"កិ., គុ.កិ."
កន្យា,ន.
កន្រ្ទឹប,គុ.
កន្លង,"កិ., គុ.កិ."
កន្លង់,ន.
កន្លងខ្នប់,ន.
កន្លងភ្នំ,ន.
កន្លាញ់,"គុ.កិ., គុ."
កន្លេងកន្លាញ់,គុ.
កន្លាត,ន.
កន្លាស់,ន.
កន្លុក,ប.
កន្លុះ,ន.
កន្លើត,ន.
កន្លើតចក,ន.
កន្លៀត,ន.
កន្លេង,គុ.
កន្លែង,ន.
កន្លោង,"គុ., ន."
កន្លះ,គុ.
កន្លះប្លង់,ន.
កន្សែង,ន.
កន្សែងដៃ,ន.
កន្សែងពោះគោ,ន.
កន្សែងយ័ន្ត,ន.
កន្សែងរុំក,ន.
កន្សែងស្រស់,ន.
កន្សៃ,ន.
កន្សៃសារពេជ្ញ,ន.
កន្សោម,ន.
កន្សោមពីជគណិត,ន.
កន្សោមតាឱ,ន.
កន្សោមពង,ន.
កន្សោមពាក្យ,ន.
